Key,Feature Type
0,Fence Complete
1,Not started
2,Trackers
3,Internal Roads
4,Zone Boundaries
5,Electrical Lines
6,Roads Gravel
7,Combiner Box
8,Inverter Boundaries
9,Inverters
10,Predrill/Piles Incomplete
11,Piles Installed
12,Trackers Installed
13,Modules Installed
14,Predrill Complete
15,A.Not started
16,B.LBD Installed
17,C.LBD Terminated
18,D.LBD Accepted
19,E.LBD Testing Complete
20,F.LBD Testing Accepted
21,A.Not Started
22,B.Predrill/Piles  Incomplete
23,C.Predrill complete
24,D.Piles complete
25,E.Piles Accepted
26,F.Trackers Installed
27,G.Tracker Accepted
28,H.Modules Installed
29,I.Modules Accepted
30,J.Module Terms Installed
31,K.Module Terms Accepted
32,L.Energized Tracker
33,DC Trench
34,Fence
35,Inverter Piles Complete
36,C.Inverter Set Complete
37,B.Inverter Piles Complete
38,D.MV & DC Terms Complete
39,E.Testing Complete
40,F.Testing Accepted
41,Road Complete
42,B.MV Install Complete
43,B.DC Install Complete
