Key, Shortcut Name, Shortcut Type
6, Marking Incomplete, Feature type change
5, Marking Complete, Feature type change
1, Auguring Complete, Feature type change
3, Casting Complete, Feature type change
2, Capping Complete, Feature type change
, Rafter, Feature type change
7, Modules Complete, Feature type change
4, MMS Complete, Feature type change
8, Pallet, Feature type change
9, Pole, Feature type change
T, train_boundary, Feature type change
C, clip_boundary, Feature type change
Return, Save layer changes, QGIS tools
S, Select features, QGIS tools
F, Add new feature, QGIS tools
P, Show attribute table, QGIS tools
E, Turn on layer edit, QGIS tools
Z, Zoom to layer, QGIS tools
D, Duplicate feature, QGIS tools
